,Symbol,Name,Sector,Industy
252,IPG,Interpublic Group,Communication Services,SERVICES-ADVERTISING AGENCIES
253,INTU,Intuit,Information Technology,SERVICES-PREPACKAGED SOFTWARE
254,ISRG,Intuitive Surgical,Health Care,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES"
255,IVZ,Invesco,Financials,INVESTMENT ADVICE
256,IPGP,IPG Photonics,Information Technology,SEMICONDUCTORS & RELATED DEVICES
257,IQV,IQVIA,Health Care,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH
258,IRM,Iron Mountain,Real Estate,REAL ESTATE INVESTMENT TRUSTS
259,JBHT,J. B. Hunt,Industrials,TRUCKING (NO LOCAL)
260,JKHY,Jack Henry & Associates,Information Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
261,J,Jacobs Engineering Group,Industrials,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS
262,SJM,JM Smucker,Consumer Staples,"CANNED, FRUITS, VEG, PRESERVES, JAMS & JELLIES"
263,JNJ,Johnson & Johnson,Health Care,PHARMACEUTICAL PREPARATIONS
264,JCI,Johnson Controls,Industrials,SERVICES-MISCELLANEOUS BUSINESS SERVICES
265,JPM,JPMorgan Chase,Financials,NATIONAL COMMERCIAL BANKS
266,JNPR,Juniper Networks,Information Technology,COMPUTER COMMUNICATIONS EQUIPMENT
267,KSU,Kansas City Southern,Industrials,
268,K,Kellogg's,Consumer Staples,GRAIN MILL PRODUCTS
269,KEY,KeyCorp,Financials,NATIONAL COMMERCIAL BANKS
270,KEYS,Keysight Technologies,Information Technology,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL"
271,KMB,Kimberly-Clark,Consumer Staples,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES)
272,KIM,Kimco Realty,Real Estate,REAL ESTATE INVESTMENT TRUSTS
273,KMI,Kinder Morgan,Energy,NATURAL GAS TRANSMISSION
274,KLAC,KLA Corporation,Information Technology,OPTICAL INSTRUMENTS & LENSES
275,KHC,Kraft Heinz,Consumer Staples,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES"
276,KR,Kroger,Consumer Staples,RETAIL-GROCERY STORES
277,LHX,L3Harris Technologies,Industrials,"SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS"
278,LH,LabCorp,Health Care,SERVICES-MEDICAL LABORATORIES
279,LRCX,Lam Research,Information Technology,"SPECIAL INDUSTRY MACHINERY, NEC"
280,LW,Lamb Weston,Consumer Staples,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES"
281,LVS,Las Vegas Sands,Consumer Discretionary,HOTELS & MOTELS
282,LEG,Leggett & Platt,Consumer Discretionary,HOUSEHOLD FURNITURE
283,LDOS,Leidos,Industrials,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
284,LEN,Lennar,Consumer Discretionary,GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS
285,LNC,Lincoln National,Financials,LIFE INSURANCE
286,LIN,Linde,Materials,INDUSTRIAL INORGANIC CHEMICALS
287,LYV,Live Nation Entertainment,Communication Services,SERVICES-AMUSEMENT & RECREATION SERVICES
288,LKQ,LKQ Corporation,Consumer Discretionary,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES
289,LMT,Lockheed Martin,Industrials,GUIDED MISSILES & SPACE VEHICLES & PARTS
290,L,Loews Corporation,Financials,"FIRE, MARINE & CASUALTY INSURANCE"
291,LOW,Lowe's,Consumer Discretionary,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS
292,LUMN,Lumen Technologies,Communication Services,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)
